Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Activity Private Note,Activity Gear,Athlete Weight,Elapsed Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Power Count,Grade Adjusted Distance,Weather Temperature,Dewpoint,Humidity,Wind Speed,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Avg Elapsed Speed,Dirt Distance,Total Steps,Media
"Aug 19, 2017, 11:50:36 AM",Children's Home (Volume),Run,,3600,13.68,,,,,0.0,3600.0,13679.400390625,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 20, 2017, 11:25:19 AM",Morning Run,Run,"Dogbite Rd. Felt good, but legs are still a little bit trashed. ",5265,20.92,,,,,0.0,5265.0,20921.5,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 21, 2017, 11:43:39 PM",Recovery Run,Run,,3060,12.07,,,,,0.0,3060.0,12070.099609375,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 22, 2017, 9:00:35 AM",Fartlek,Run,"2 mi warmup 

5×(3 min @10k race effort, 3 min volume run effort, 2 min @5k race effort, 2 min volume run effort)  avg close to 6:00 min/mi 
 
10 min cooldown",4440,18.50,,,,,0.0,4440.0,18507.5,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 22, 2017, 9:56:52 PM",Easy Evening Shakeout Run,Run,,1560,5.77,,,,,0.0,1560.0,5771.43994140625,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 23, 2017, 10:05:40 AM",Morning Run,Run,Early morning at Children's Home. Started on trails ended on road. ,2700,9.65,,,,,0.0,2700.0,9656.099609375,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 24, 2017, 11:00:09 AM",Morning Run,Run,"Warm up and 6 mile tempo. Terrible workout. Started off well at 5:48, 5:45 for the first two miles, but my calves/shins and hamstrings were not having it today. I stopped and streched a few times and slowed down quite a bit... but there's always tomorrow to fix today.",3180,12.87,,,,,0.0,3180.0,12874.7998046875,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 25, 2017, 11:46:26 AM",Morning Run,Run,,3060,12.23,,,,,0.0,3060.0,12231.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 26, 2017, 12:42:09 PM",Morning Run,Run,Children's Home ,3780,14.48,,,,,0.0,3780.0,14484.099609375,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 27, 2017, 1:21:05 PM",Dauset Trails Long Run,Run,Felt pretty good. Hilly as mess. ,6000,22.99,,,,,0.0,6000.0,22990.599609375,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"Aug 28, 2017, 9:36:02 PM",Evening Run,Run,Recovery run ,3256,12.87,,,,,0.0,3256.0,12874.7998046875,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,
